,year,precip,Area
4378,1979,5.0398607,Australia
4379,1979,3.0145533,Australia
4380,1979,3.1432781,Australia
4387,1979,5.6397824,Vanuatu
4469,1979,1.9750236,Angola
4470,1979,3.5114858,Angola
4471,1979,3.792822,Angola
4472,1979,3.6629908,Angola
4473,1979,4.135497,Angola
4474,1979,3.775817,Democratic Republic of the Congo
4475,1979,4.353851,Democratic Republic of the Congo
4476,1979,4.0329356,Democratic Republic of the Congo
4477,1979,3.647104,Malawi
4478,1979,3.7861824,Mozambique
4479,1979,3.9134371,Mozambique
4509,1979,1.3075954,Australia
4510,1979,1.250044,Australia
4511,1979,2.147095,Australia
4512,1979,1.3439249,Australia
4513,1979,3.03209,Australia
4514,1979,1.3250613,Australia
4515,1979,1.4093176,Australia
4516,1979,3.2581444,Australia
4517,1979,2.647186,Australia
4518,1979,3.1392496,Australia
4519,1979,2.293185,Australia
4520,1979,4.594361,Australia
4521,1979,4.3701262,Australia
4522,1979,2.8033283,Australia
4523,1979,5.0206137,Australia
4524,1979,6.5618057,Australia
4525,1979,4.736642,Papua New Guinea
4526,1979,5.7405167,Solomon Islands
4527,1979,5.759172,Solomon Islands
4528,1979,7.703047,Solomon Islands
4529,1979,6.780451,Solomon Islands
4530,1979,7.419729,Solomon Islands
4531,1979,7.323444,Solomon Islands
4613,1979,2.1529248,Angola
4614,1979,3.4452932,Angola
4615,1979,3.9599388,Angola
4616,1979,4.0510197,Angola
4617,1979,4.39469,Angola
4618,1979,4.0035934,Democratic Republic of the Congo
4619,1979,4.528419,Democratic Republic of the Congo
4620,1979,4.5342727,Democratic Republic of the Congo
4621,1979,4.378402,United Republic of Tanzania
4622,1979,5.0246873,United Republic of Tanzania
4623,1979,4.035383,United Republic of Tanzania
4626,1979,1.9534973,Seychelles
4627,1979,2.423699,Seychelles
4628,1979,2.663601,Seychelles
4629,1979,2.8698852,Seychelles
4630,1979,3.303567,Seychelles
4646,1979,6.38549,Indonesia
4647,1979,6.095283,Indonesia
4648,1979,5.5233936,Indonesia
4649,1979,4.7859554,Indonesia
4650,1979,6.790697,Indonesia
4651,1979,8.156485,Indonesia
4652,1979,6.0267634,Indonesia
4653,1979,4.917034,Indonesia
4654,1979,3.6945715,Indonesia
4655,1979,2.340803,Indonesia
4656,1979,3.8523924,Indonesia
4657,1979,2.5647037,Indonesia
4658,1979,2.6622581,Indonesia
4659,1979,2.0678227,Indonesia
4660,1979,2.7464495,Indonesia
4661,1979,2.1592093,Indonesia
4662,1979,2.8516786,Indonesia
4663,1979,3.6521485,Indonesia
4664,1979,3.9361217,Papua New Guinea
4665,1979,5.5881076,Papua New Guinea
4666,1979,5.954548,Papua New Guinea
4667,1979,7.1491165,Papua New Guinea
4668,1979,7.36148,Papua New Guinea
4669,1979,8.131209,Papua New Guinea
4670,1979,9.863305,Solomon Islands
4671,1979,8.633631,Solomon Islands
4672,1979,7.774573,Solomon Islands
4673,1979,9.1461935,Solomon Islands
4674,1979,9.672368,Solomon Islands
4675,1979,9.280904,Solomon Islands
4757,1979,2.9203453,Angola
4758,1979,3.9388857,Angola
4759,1979,4.380672,Angola
4760,1979,4.1609616,Angola
4761,1979,4.192866,Angola
4762,1979,4.0316157,Democratic Republic of the Congo
4763,1979,3.8912802,Democratic Republic of the Congo
4764,1979,3.415376,Democratic Republic of the Congo
4765,1979,2.8025415,South Sudan
4766,1979,2.5934694,United Republic of Tanzania
4767,1979,3.9667618,United Republic of Tanzania
4770,1979,1.9646336,Seychelles
4771,1979,2.357394,Seychelles
4772,1979,2.5923903,Seychelles
4773,1979,2.742277,Seychelles
4774,1979,3.0311575,Seychelles
4790,1979,7.8733673,Indonesia
4791,1979,8.086902,Indonesia
4792,1979,7.8775234,Indonesia
4793,1979,6.7969146,Indonesia
4794,1979,7.8794913,Indonesia
4795,1979,8.52176,Indonesia
4796,1979,5.772047,Indonesia
4797,1979,4.9302325,Indonesia
4798,1979,2.259075,Indonesia
4799,1979,7.529665,Indonesia
4800,1979,3.291929,Indonesia
4801,1979,3.1288998,Indonesia
4802,1979,2.260276,Indonesia
4803,1979,2.1931179,Indonesia
4804,1979,2.6671393,Indonesia
4805,1979,4.4008737,Indonesia
4806,1979,6.7489448,Indonesia
4807,1979,7.95505,Indonesia
4808,1979,8.293056,Papua New Guinea
4809,1979,8.308804,Papua New Guinea
4810,1979,6.6208596,Papua New Guinea
4811,1979,9.933086,Papua New Guinea
4812,1979,12.113164,Papua New Guinea
4813,1979,7.869884,Papua New Guinea
4814,1979,9.496398,Solomon Islands
4815,1979,10.597093,Solomon Islands
4816,1979,10.665816,Solomon Islands
4817,1979,10.481246,Solomon Islands
4818,1979,10.127912,Solomon Islands
4819,1979,9.478972,Solomon Islands
4896,1979,0.673023,Kiribati
4897,1979,0.9239361,Kiribati
4898,1979,1.2434777,Kiribati
4899,1979,2.9935486,Gabon
4900,1979,3.7524843,Congo
4901,1979,4.2217426,Congo
4902,1979,4.4293976,Congo
4903,1979,4.443893,Democratic Republic of the Congo
4904,1979,4.828637,Democratic Republic of the Congo
4905,1979,4.63374,Democratic Republic of the Congo
4906,1979,4.639202,Democratic Republic of the Congo
4907,1979,3.7300656,Democratic Republic of the Congo
4908,1979,3.1440125,Democratic Republic of the Congo
4909,1979,2.6415124,Kiribati
4910,1979,2.8037474,Kenya
4911,1979,2.8778582,Kenya
4912,1979,3.2337334,Kenya
4913,1979,1.3291943,Kiribati
4914,1979,1.1922258,Kiribati
4915,1979,1.4963032,Kiribati
4916,1979,1.9909688,Kiribati
4917,1979,2.3580325,Kiribati
4918,1979,2.5914032,Kiribati
4919,1979,3.0762835,Kiribati
4920,1979,3.8748152,Kiribati
4921,1979,4.47573,Kiribati
4922,1979,4.964888,Kiribati
4923,1979,5.2980113,Kiribati
4924,1979,5.512548,Kiribati
4925,1979,5.6593766,Kiribati
4926,1979,5.6130447,Kiribati
4927,1979,5.672621,Kiribati
4928,1979,5.739296,Kiribati
4929,1979,6.1304207,Kiribati
4930,1979,6.6942024,Kiribati
4931,1979,7.5441175,Kiribati
4932,1979,7.839964,Kiribati
4933,1979,7.8921742,Kiribati
4934,1979,8.241021,Indonesia
4935,1979,8.62145,Indonesia
4936,1979,8.527285,Indonesia
4937,1979,8.400765,Indonesia
4938,1979,5.990439,Indonesia
4939,1979,7.3941402,Indonesia
4940,1979,9.173218,Indonesia
4941,1979,8.545201,Indonesia
4942,1979,5.3336825,Indonesia
4943,1979,4.6451683,Indonesia
4944,1979,5.2284403,Indonesia
4945,1979,3.5131054,Indonesia
4946,1979,3.60612,Indonesia
4947,1979,4.3674507,Indonesia
4948,1979,4.9681773,Indonesia
4949,1979,5.6407914,Indonesia
4950,1979,9.57895,Indonesia
4951,1979,7.104772,Indonesia
4952,1979,8.2907505,Kiribati
4953,1979,7.316028,Kiribati
4954,1979,8.3319845,Kiribati
4955,1979,7.5379777,Kiribati
4956,1979,9.23072,Kiribati
4957,1979,9.322397,Kiribati
4958,1979,10.117328,Kiribati
4959,1979,10.270314,Kiribati
4960,1979,10.225999,Kiribati
4961,1979,9.675164,Kiribati
4962,1979,8.765115,Kiribati
4963,1979,7.8016515,Kiribati
4964,1979,6.9637637,Kiribati
4965,1979,6.1843104,Kiribati
4966,1979,5.511555,Kiribati
5040,1979,1.5712448,Kiribati
5041,1979,1.7559112,Kiribati
5042,1979,2.1153364,Equatorial Guinea
5043,1979,4.2040715,Equatorial Guinea
5044,1979,4.719456,Congo
5045,1979,5.4444427,Congo
5046,1979,4.885595,Congo
5047,1979,5.3807144,Democratic Republic of the Congo
5048,1979,5.593851,Democratic Republic of the Congo
5049,1979,5.0947003,Democratic Republic of the Congo
5050,1979,5.534214,Democratic Republic of the Congo
5051,1979,4.6320367,Democratic Republic of the Congo
5052,1979,3.2781727,Democratic Republic of the Congo
5053,1979,3.4401274,Kiribati
5054,1979,2.8762138,Kenya
5055,1979,2.65684,Kenya
5056,1979,2.269849,Kenya
5057,1979,0.97541046,Kiribati
5058,1979,0.68870527,Kiribati
5059,1979,0.98961616,Kiribati
5060,1979,1.2643,Kiribati
5061,1979,1.549656,Kiribati
5062,1979,1.8407987,Kiribati
5063,1979,2.3048322,Kiribati
5064,1979,2.9542572,Kiribati
5065,1979,3.4333346,Kiribati
5066,1979,3.9177592,Kiribati
5067,1979,4.3658676,Kiribati
5068,1979,4.749313,Kiribati
5069,1979,5.044822,Kiribati
5070,1979,5.2703633,Kiribati
5071,1979,5.4470162,Kiribati
5072,1979,5.5483747,Kiribati
5073,1979,5.5453873,Kiribati
5074,1979,5.5846725,Kiribati
5075,1979,6.0549736,Kiribati
5076,1979,6.644373,Kiribati
5077,1979,6.9382243,Kiribati
5078,1979,7.126427,Indonesia
5079,1979,9.116921,Indonesia
5080,1979,8.971753,Indonesia
5081,1979,8.265119,Indonesia
5082,1979,6.1054044,Indonesia
5083,1979,8.133279,Indonesia
5084,1979,10.251109,Indonesia
5085,1979,11.090924,Indonesia
5086,1979,8.072807,Indonesia
5087,1979,6.601658,Indonesia
5088,1979,5.6148515,Indonesia
5089,1979,4.002332,Indonesia
5090,1979,3.9142265,Indonesia
5091,1979,3.7911227,Indonesia
5092,1979,7.2283096,Indonesia
5093,1979,6.9379864,Indonesia
5094,1979,7.355736,Indonesia
5095,1979,5.332816,Indonesia
5096,1979,6.9822745,Kiribati
5097,1979,7.421305,Kiribati
5098,1979,8.652703,Kiribati
5099,1979,7.980467,Kiribati
5100,1979,8.554359,Kiribati
5101,1979,9.155062,Kiribati
5102,1979,9.341882,Kiribati
5103,1979,9.005964,Kiribati
5104,1979,8.69194,Kiribati
5105,1979,8.016689,Kiribati
5106,1979,7.080733,Kiribati
5107,1979,6.2754517,Kiribati
5108,1979,5.5334287,Kiribati
5109,1979,4.870135,Kiribati
5110,1979,4.435962,Kiribati
5184,1979,2.676135,Kiribati
5185,1979,2.721956,Kiribati
5186,1979,2.8701649,Equatorial Guinea
5187,1979,6.772707,Equatorial Guinea
5188,1979,5.052386,Congo
5189,1979,4.521318,Congo
5190,1979,4.535849,Congo
5191,1979,5.4097,Democratic Republic of the Congo
5192,1979,5.5197625,Democratic Republic of the Congo
5193,1979,4.984851,Democratic Republic of the Congo
5194,1979,4.5589757,Democratic Republic of the Congo
5195,1979,4.288141,Democratic Republic of the Congo
5196,1979,3.3939312,Democratic Republic of the Congo
5197,1979,3.4554365,Kiribati
5198,1979,2.3794606,Kenya
5199,1979,1.5782343,Kenya
5200,1979,1.2847171,Kenya
5201,1979,1.6763645,Kiribati
5202,1979,1.2652307,Kiribati
5203,1979,0.8453564,Kiribati
5204,1979,1.1297415,Kiribati
5205,1979,1.3885399,Kiribati
5206,1979,1.5882152,Kiribati
5207,1979,2.0203373,Kiribati
5208,1979,2.4584239,Kiribati
5209,1979,2.772414,Kiribati
5210,1979,3.0927894,Kiribati
5211,1979,3.4571078,Kiribati
5212,1979,4.062406,Kiribati
5213,1979,4.450746,Kiribati
5214,1979,5.0204177,Kiribati
5215,1979,5.223278,Kiribati
5216,1979,5.2011533,Kiribati
5217,1979,4.9970183,Kiribati
5218,1979,5.2235456,Kiribati
5219,1979,5.916001,Kiribati
5220,1979,6.3149624,Kiribati
5221,1979,6.833132,Kiribati
5222,1979,7.685169,Indonesia
5223,1979,8.657631,Indonesia
5224,1979,7.2152157,Indonesia
5225,1979,7.0932193,Indonesia
5226,1979,3.0752375,Indonesia
5227,1979,6.6294117,Indonesia
5228,1979,10.092574,Indonesia
5229,1979,11.5818205,Indonesia
5230,1979,8.827096,Indonesia
5231,1979,5.0832257,Indonesia
5232,1979,4.2943373,Indonesia
5233,1979,4.763974,Indonesia
5234,1979,5.0053344,Indonesia
5235,1979,4.5193334,Indonesia
5236,1979,4.7708526,Indonesia
5237,1979,4.9000783,Indonesia
5238,1979,5.419538,Indonesia
5239,1979,6.1955523,Indonesia
5240,1979,7.011923,Kiribati
5241,1979,7.963183,Kiribati
5242,1979,9.037219,Kiribati
5243,1979,9.411427,Kiribati
5244,1979,9.486054,Kiribati
5245,1979,9.625091,Kiribati
5246,1979,9.664425,Kiribati
5247,1979,9.316279,Kiribati
5248,1979,9.103875,Kiribati
5249,1979,8.386199,Kiribati
5250,1979,7.554178,Kiribati
5251,1979,6.661564,Kiribati
5252,1979,6.071451,Kiribati
5253,1979,5.577513,Kiribati
5254,1979,5.060851,Kiribati
5328,1979,3.3222694,Kiribati
5329,1979,4.0177455,Kiribati
5330,1979,6.5578346,Equatorial Guinea
5331,1979,7.970056,Cameroon
5332,1979,5.3424134,Cameroon
5333,1979,4.3178864,Cameroon
5334,1979,4.5724125,Central African Republic
5335,1979,4.8974876,Central African Republic
5336,1979,5.1050115,Central African Republic
5337,1979,4.467768,Central African Republic
5338,1979,4.643808,Central African Republic
5339,1979,3.9258785,Democratic Republic of the Congo
5340,1979,3.1654446,Democratic Republic of the Congo
5341,1979,2.0117192,Ethiopia
5342,1979,1.234223,Ethiopia
5343,1979,1.9353919,Ethiopia
5344,1979,1.0016221,Ethiopia
5345,1979,1.3329543,Ethiopia
5346,1979,0.9420338,Ethiopia
5347,1979,0.710681,Kiribati
5348,1979,1.0467991,Kiribati
5349,1979,1.3467245,Kiribati
5350,1979,1.8105572,Kiribati
5351,1979,2.0610862,Kiribati
5352,1979,2.410425,Kiribati
5353,1979,2.5668402,Kiribati
5354,1979,2.5982018,Kiribati
5355,1979,3.0087996,Kiribati
5356,1979,3.4615414,Kiribati
5357,1979,3.5559413,Kiribati
5358,1979,4.226919,Kiribati
5359,1979,4.3959208,Kiribati
5360,1979,4.3538127,Kiribati
5361,1979,4.158955,Kiribati
5362,1979,4.5276246,Kiribati
5363,1979,5.454708,Kiribati
5364,1979,5.974623,Kiribati
5365,1979,6.263538,Kiribati
5366,1979,6.744074,Indonesia
5367,1979,7.3995337,Indonesia
5368,1979,6.614891,Indonesia
5369,1979,6.290479,Indonesia
5370,1979,3.021612,Indonesia
5371,1979,5.388994,Indonesia
5372,1979,6.846974,Indonesia
5373,1979,8.902713,Indonesia
5374,1979,8.524927,Indonesia
5375,1979,6.4082303,Indonesia
5376,1979,2.7669613,Indonesia
5377,1979,3.2674477,Indonesia
5378,1979,3.8873594,Indonesia
5379,1979,4.7565627,Indonesia
5380,1979,5.203759,Indonesia
5381,1979,5.7325497,Indonesia
5382,1979,6.3681846,Indonesia
5383,1979,7.2143893,Indonesia
5384,1979,8.027709,Kiribati
5385,1979,8.7474375,Kiribati
5386,1979,9.82758,Kiribati
5387,1979,10.682018,Kiribati
5388,1979,10.656572,Kiribati
5389,1979,10.354667,Kiribati
5390,1979,10.509603,Kiribati
5391,1979,10.566048,Kiribati
5392,1979,10.580174,Kiribati
5393,1979,10.351314,Kiribati
5394,1979,9.758645,Kiribati
5395,1979,9.124883,Kiribati
5396,1979,8.776507,Kiribati
5397,1979,8.849554,Kiribati
5398,1979,8.631986,Kiribati
5472,1979,3.986495,Benin
5473,1979,4.875633,Benin
5474,1979,5.9035797,Nigeria
5475,1979,6.0234413,Cameroon
5476,1979,5.196572,Cameroon
5477,1979,4.5502644,Cameroon
5478,1979,3.8756092,Central African Republic
5479,1979,3.7481492,Central African Republic
5480,1979,4.5365543,Central African Republic
5481,1979,4.3790655,Central African Republic
5482,1979,3.799042,Central African Republic
5483,1979,3.1981342,South Sudan
5484,1979,2.6081576,South Sudan
5485,1979,2.4324973,Ethiopia
5486,1979,3.6195583,Ethiopia
5487,1979,3.1818755,Ethiopia
5488,1979,2.6018155,Ethiopia
5489,1979,0.63141614,Ethiopia
5490,1979,0.86626333,Ethiopia
5491,1979,0.8284015,Somalia
5492,1979,0.57647324,Somalia
5504,1979,5.4761925,Sri Lanka
5511,1979,5.376923,Thailand
5512,1979,6.34535,Malaysia
5513,1979,6.979952,Malaysia
5514,1979,3.7988558,Malaysia
5515,1979,4.306731,Malaysia
5516,1979,4.6774287,Malaysia
5517,1979,6.431356,Malaysia
5518,1979,7.784805,Malaysia
5519,1979,6.290027,Malaysia
5520,1979,4.404116,Philippines
5521,1979,4.131855,Philippines
5522,1979,4.2918715,Philippines
5527,1979,7.0661693,Micronesia (Federated States of)
5528,1979,7.829642,Micronesia (Federated States of)
5529,1979,8.3543215,Micronesia (Federated States of)
5530,1979,8.637917,Micronesia (Federated States of)
5531,1979,9.303483,Micronesia (Federated States of)
5532,1979,9.4209385,Micronesia (Federated States of)
5533,1979,8.8435955,Micronesia (Federated States of)
5534,1979,8.577642,Micronesia (Federated States of)
5535,1979,8.708175,Micronesia (Federated States of)
5536,1979,8.579307,Marshall Islands
5537,1979,8.669841,Marshall Islands
5538,1979,8.417987,Marshall Islands
5539,1979,8.188277,Marshall Islands
5540,1979,8.400729,Marshall Islands
5616,1979,4.072082,Benin
5617,1979,3.4318457,Benin
5618,1979,3.5480793,Nigeria
5619,1979,3.324125,Cameroon
5620,1979,3.3490152,Cameroon
5621,1979,3.3078728,Cameroon
5622,1979,2.8345041,Central African Republic
5623,1979,2.9827306,Central African Republic
5624,1979,3.0853977,Central African Republic
5625,1979,2.8313577,Central African Republic
5626,1979,3.005345,Central African Republic
5627,1979,2.8158073,South Sudan
5628,1979,2.6198528,South Sudan
5629,1979,2.7116432,Ethiopia
5630,1979,4.6907144,Ethiopia
5631,1979,3.3643548,Ethiopia
5632,1979,2.8724692,Ethiopia
5633,1979,1.5775539,Ethiopia
5634,1979,0.69103265,Ethiopia
5635,1979,0.62909144,Somalia
5636,1979,0.50809735,Somalia
5643,1979,2.2636206,India
5644,1979,2.3662407,India
5645,1979,2.7112515,India
